"month"	"high"	"low"	"tot_precip"	"tot_sun"	"days"	"mm_day_precip"	"hrs_day_sun"	"more_rainy"
"Jan"	1.2	-4	72.6	16	31	2.34	0.52	"no"
"Feb"	1.8	-3.7	67.9	52	28	2.43	1.86	"yes"
"Mar"	4.2	-2.2	72.2	124	31	2.33	4	"no"
"Apr"	8.8	1.5	51.5	162	30	1.72	5.4	"no"
"May"	13.7	5.3	43.4	204	31	1.4	6.58	"no"
"Jun"	16.3	8.5	70.8	180	30	2.36	6	"yes"
"Jul"	19	11.4	75.6	181	31	2.44	5.84	"yes"
"Aug"	18	10.8	79.6	174	31	2.57	5.61	"yes"
"Sep"	14.6	7.9	84.2	119	30	2.81	3.97	"yes"
"Oct"	8.9	3	78.4	72	31	2.53	2.32	"no"
"Nov"	4.7	-0.5	66.8	29	30	2.23	0.97	"no"
"Dec"	2.1	-3.3	78.1	8	31	2.52	0.26	"yes"
